ID,Declarative,Relative,Interrogative,Exclamatory,Imperative,Passive,Cleft,Conditional,Nominal
ALS03,33.33333333333333,51.515151515151516,12.121212121212121,0.0,3.0303030303030303,15.151515151515152,3.0303030303030303,9.090909090909092,15.151515151515152
ALS04,39.58333333333333,27.083333333333332,4.166666666666666,0.0,4.166666666666666,8.333333333333332,6.25,16.666666666666664,16.666666666666664
ALS05,19.230769230769234,57.692307692307686,7.6923076923076925,3.8461538461538463,3.8461538461538463,7.6923076923076925,7.6923076923076925,7.6923076923076925,11.538461538461538
ALS08,30.555555555555557,33.33333333333333,2.7777777777777777,0.0,5.555555555555555,8.333333333333332,11.11111111111111,19.444444444444446,8.333333333333332
ALS09,42.857142857142854,21.428571428571427,9.523809523809524,0.0,2.380952380952381,0.0,7.142857142857142,19.047619047619047,21.428571428571427
ALS10,36.11111111111111,52.77777777777778,8.333333333333332,0.0,0.0,5.555555555555555,22.22222222222222,2.7777777777777777,11.11111111111111
ALS11,36.11111111111111,30.555555555555557,2.7777777777777777,0.0,2.7777777777777777,11.11111111111111,13.88888888888889,8.333333333333332,22.22222222222222
BFC02,26.82926829268293,36.58536585365854,19.51219512195122,0.0,2.4390243902439024,19.51219512195122,9.75609756097561,7.317073170731707,21.951219512195124
BFC06,29.629629629629626,22.22222222222222,7.4074074074074066,0.0,7.4074074074074066,22.22222222222222,0.0,0.0,18.51851851851852
BFC09,31.818181818181817,36.36363636363637,18.181818181818183,0.0,0.0,13.636363636363635,4.545454545454546,0.0,9.090909090909092
BFC10,20.833333333333336,50.0,8.333333333333332,0.0,4.166666666666666,16.666666666666664,25.0,8.333333333333332,8.333333333333332
BOD01,23.076923076923077,25.64102564102564,5.128205128205128,0.0,2.564102564102564,46.15384615384615,7.6923076923076925,0.0,15.384615384615385
BOD04,48.275862068965516,34.48275862068966,3.4482758620689653,0.0,3.4482758620689653,0.0,6.896551724137931,6.896551724137931,13.793103448275861
BOD07,35.714285714285715,40.476190476190474,7.142857142857142,0.0,2.380952380952381,0.0,19.047619047619047,0.0,21.428571428571427
BOD11,33.33333333333333,40.0,6.666666666666667,0.0,0.0,16.666666666666664,13.333333333333334,10.0,13.333333333333334
BOD12,25.806451612903224,32.25806451612903,16.129032258064516,0.0,3.225806451612903,19.35483870967742,16.129032258064516,6.451612903225806,12.903225806451612
BRE04,31.428571428571427,31.428571428571427,11.428571428571429,0.0,2.857142857142857,11.428571428571429,11.428571428571429,0.0,22.857142857142858
